File,Number of Changes
ShareX/Forms/MainForm.cs,624
ShareX.HelpersLib/DNS/AdapterInfo.cs,17
ShareX.HelpersLib/DNS/DNSInfo.cs,16
ShareX.HelpersLib/Forms/DNSChangerForm.Designer.cs,5
ShareX.HelpersLib/Forms/DNSChangerForm.ar-YE.resx,3
ShareX.HelpersLib/Forms/DNSChangerForm.cs,13
ShareX.HelpersLib/Forms/DNSChangerForm.de.resx,5
ShareX.HelpersLib/Forms/DNSChangerForm.es-MX.resx,3
ShareX.HelpersLib/Forms/DNSChangerForm.es.resx,2
ShareX.HelpersLib/Forms/DNSChangerForm.fa-IR.resx,2
ShareX.HelpersLib/Forms/DNSChangerForm.fr.resx,3
ShareX.HelpersLib/Forms/DNSChangerForm.he-IL.resx,2
ShareX.HelpersLib/Forms/DNSChangerForm.hu.resx,2
ShareX.HelpersLib/Forms/DNSChangerForm.id-ID.resx,2
ShareX.HelpersLib/Forms/DNSChangerForm.it-IT.resx,2
ShareX.HelpersLib/Forms/DNSChangerForm.ja-JP.resx,4
ShareX.HelpersLib/Forms/DNSChangerForm.ko-KR.resx,2
ShareX.HelpersLib/Forms/DNSChangerForm.nl-NL.resx,2
ShareX.HelpersLib/Forms/DNSChangerForm.pl.resx,2
ShareX.HelpersLib/Forms/DNSChangerForm.pt-BR.resx,3
ShareX.HelpersLib/Forms/DNSChangerForm.pt-PT.resx,2
ShareX.HelpersLib/Forms/DNSChangerForm.resx,3
ShareX.HelpersLib/Forms/DNSChangerForm.ro.resx,2
ShareX.HelpersLib/Forms/DNSChangerForm.ru.resx,3
ShareX.HelpersLib/Forms/DNSChangerForm.tr.resx,3
ShareX.HelpersLib/Forms/DNSChangerForm.uk.resx,4
ShareX.HelpersLib/Forms/DNSChangerForm.vi-VN.resx,3
ShareX.HelpersLib/Forms/DNSChangerForm.zh-CN.resx,3
ShareX.HelpersLib/Forms/DNSChangerForm.zh-TW.resx,4
ShareX.HelpersLib/Native/NativeMethods.cs,44
ShareX.HelpersLib/Properties/Resources.Designer.cs,181
ShareX.HelpersLib/Properties/Resources.ar-YE.resx,4
ShareX.HelpersLib/Properties/Resources.de.resx,52
ShareX.HelpersLib/Properties/Resources.es-MX.resx,14
ShareX.HelpersLib/Properties/Resources.es.resx,19
ShareX.HelpersLib/Properties/Resources.fa-IR.resx,11
ShareX.HelpersLib/Properties/Resources.fr.resx,56
ShareX.HelpersLib/Properties/Resources.he-IL.resx,9
ShareX.HelpersLib/Properties/Resources.hu.resx,19
ShareX.HelpersLib/Properties/Resources.id-ID.resx,12
ShareX.HelpersLib/Properties/Resources.it-IT.resx,20
ShareX.HelpersLib/Properties/Resources.ja-JP.resx,23
ShareX.HelpersLib/Properties/Resources.ko-KR.resx,34
ShareX.HelpersLib/Properties/Resources.nl-NL.resx,29
ShareX.HelpersLib/Properties/Resources.pl.resx,13
ShareX.HelpersLib/Properties/Resources.pt-BR.resx,39
ShareX.HelpersLib/Properties/Resources.pt-PT.resx,11
ShareX.HelpersLib/Properties/Resources.resx,184
ShareX.HelpersLib/Properties/Resources.ro.resx,8
ShareX.HelpersLib/Properties/Resources.ru.resx,75
ShareX.HelpersLib/Properties/Resources.tr.resx,66
ShareX.HelpersLib/Properties/Resources.uk.resx,13
ShareX.HelpersLib/Properties/Resources.vi-VN.resx,25
ShareX.HelpersLib/Properties/Resources.zh-CN.resx,46
ShareX.HelpersLib/Properties/Resources.zh-TW.resx,17
ShareX.HelpersLib/ShareX.HelpersLib.csproj,220
ShareX/Enums.cs,189
ShareX/Forms/MainForm.Designer.cs,256
ShareX/Forms/MainForm.resx,235
ShareX/Program.cs,311
ShareX/Properties/Resources.Designer.cs,227
ShareX/Properties/Resources.resx,226
ShareX/Resources/network-ip.png,4
ShareX/TaskHelpers.cs,515
ShareX/Forms/MainForm.ja-JP.resx,12
ShareX.ImageEffectsLib/Forms/ImageEffectsForm.ja-JP.resx,7
ShareX.ImageEffectsLib/Properties/Resources.ja-JP.resx,5
ShareX.MediaLib/Forms/ImageBeautifierForm.ja-JP.resx,1
ShareX.MediaLib/Forms/VideoConverterForm.ja-JP.resx,3
ShareX.MediaLib/Properties/Resources.ja-JP.resx,6
ShareX.ScreenCaptureLib/Forms/EditorStartupForm.ja-JP.resx,2
ShareX.ScreenCaptureLib/Forms/FFmpegOptionsForm.ja-JP.resx,6
ShareX.ScreenCaptureLib/Forms/ScreenRecordForm.ja-JP.resx,3
ShareX.ScreenCaptureLib/Forms/ScrollingCaptureForm.ja-JP.resx,5
ShareX.ScreenCaptureLib/Properties/Resources.ja-JP.resx,18
ShareX.UploadersLib/Controls/OAuthLoopbackControl.ja-JP.resx,1
ShareX.UploadersLib/Forms/CustomUploaderSettingsForm.ja-JP.resx,2
ShareX.UploadersLib/Forms/UploadersConfigForm.ja-JP.resx,9
ShareX.UploadersLib/OAuth/OAuthListenerForm.ja-JP.resx,1
ShareX.UploadersLib/Properties/Resources.ja-JP.resx,4
ShareX/Controls/TaskThumbnailPanel.ja-JP.resx,2
ShareX/Forms/ApplicationSettingsForm.ja-JP.resx,9
ShareX/Forms/InspectWindowForm.ja-JP.resx,3
ShareX/Forms/QRCodeForm.ja-JP.resx,2
ShareX/Forms/TaskSettingsForm.ja-JP.resx,15
ShareX/Properties/Resources.ja-JP.resx,17
ShareX/Tools/PinToScreen/PinToScreenForm.ja-JP.resx,1
ShareX/Tools/PinToScreen/PinToScreenOptionsForm.ja-JP.resx,1
ShareX.HelpersLib/Forms/HashCheckerForm.cs,7
ShareX/ShareXCLIManager.cs,13
ShareX.HelpersLib/Forms/HashCheckerForm.Designer.cs,4
ShareX.HelpersLib/Forms/HashCheckerForm.resx,3
ShareX.MediaLib/Forms/VideoConverterForm.cs,47
Directory.build.props,17
ShareX.Setup/Program.cs,198
ShareX.Setup/MicrosoftStore/AppxManifest.xml,9
ShareX.HelpersLib/CLI/CLICommand.cs,20
ShareX.HelpersLib/CLI/CLICommandAction.cs,17
ShareX.HelpersLib/CLI/CLIManager.cs,18
ShareX.HelpersLib/CLI/ExternalCLIManager.cs,21
ShareX.HelpersLib/ClipboardFormat.cs,15
ShareX.HelpersLib/ColorBgra.cs,17
ShareX.HelpersLib/ColorMatrixManager.cs,22
ShareX.HelpersLib/ColorPickerOptions.cs,5
ShareX.HelpersLib/Colors/CMYK.cs,18
ShareX.HelpersLib/Colors/ColorBox.cs,17
ShareX.HelpersLib/Colors/ColorEventHandler.cs,15
ShareX.HelpersLib/Colors/ColorPicker.cs,18
ShareX.HelpersLib/Colors/ColorSlider.cs,18
ShareX.HelpersLib/Colors/ColorUserControl.cs,23
ShareX.HelpersLib/Colors/GradientInfo.cs,34
ShareX.HelpersLib/Colors/GradientStop.cs,17
ShareX.HelpersLib/Colors/HSB.cs,18
ShareX.HelpersLib/Colors/MyColor.cs,17
ShareX.HelpersLib/Colors/RGBA.cs,18
ShareX.HelpersLib/ControlHider.cs,7
ShareX.HelpersLib/Controls/BlackStyle/BlackStyleButton.cs,20
ShareX.HelpersLib/Controls/BlackStyle/BlackStyleCheckBox.cs,21
ShareX.HelpersLib/Controls/BlackStyle/BlackStyleLabel.cs,23
ShareX.HelpersLib/Controls/BlackStyle/BlackStyleProgressBar.cs,19
ShareX.HelpersLib/Controls/Canvas.cs,17
ShareX.HelpersLib/Controls/ColorButton.cs,29
ShareX.HelpersLib/Controls/DarkColorTable.cs,12
ShareX.HelpersLib/Controls/DoubleLabeledNumericUpDown.cs,15
ShareX.HelpersLib/Controls/ExportImportControl.cs,40
ShareX.HelpersLib/Controls/HotkeySelectionButton.cs,14
ShareX.HelpersLib/Controls/ImageLabel.cs,5
ShareX.HelpersLib/Controls/LabelNoCopy.cs,13
ShareX.HelpersLib/Controls/LabeledComboBox.cs,11
ShareX.HelpersLib/Controls/LabeledNumericUpDown.cs,14
ShareX.HelpersLib/Controls/MenuButton.cs,23
ShareX.HelpersLib/Controls/MyListView.cs,34
ShareX.HelpersLib/Controls/MyPictureBox.cs,43
ShareX.HelpersLib/Controls/NoFocusBorderButton.cs,15
ShareX.HelpersLib/Controls/ObjectListView.cs,7
ShareX.HelpersLib/Controls/ReadOnlyRichTextBox.cs,5
ShareX.HelpersLib/Controls/RoundedCornerPanel.cs,9
ShareX.HelpersLib/Controls/SplitContainerCustomSplitter.cs,22
ShareX.HelpersLib/Controls/TabToListView.cs,18
ShareX.HelpersLib/Controls/TabToTreeView.cs,26
ShareX.HelpersLib/Controls/TablessControl.cs,15
