Kind,Name,AvgCyclomatic,CountLine,CountLineCode,CountLineComment,RatioCommentToCode,SumCyclomatic,PercentLackOfCohesion,MaxInheritanceTree,MaxNesting,MaxCyclomatic,Cyclomatic
Package,"$",0,114,6,108,18.00,0,,,0,0,
Package,"(Unnamed_Package)",5,344,220,92,0.42,36,,,6,16,
File,"AClass.java",0,21,2,18,9.00,0,,,0,0,
File,"AbstractArtifactComponentTestCase.java",1,347,242,36,0.15,29,,,2,3,
File,"AbstractArtifactMetadata.java",1,33,10,21,2.10,1,,,0,1,
File,"AbstractArtifactMetadata.java",1,59,27,22,0.81,5,,,0,1,
File,"AbstractArtifactResolutionException.java",2,323,246,27,0.11,31,,,4,8,
File,"AbstractCheckMojo.java",3,127,59,46,0.78,11,,,3,5,
File,"AbstractConflictResolverTest.java",1,124,65,30,0.46,9,,,0,1,
File,"AbstractCoreMavenComponentTestCase.java",1,317,236,26,0.11,29,,,4,5,
File,"AbstractCoreMavenComponentTestCase.java",1,317,236,26,0.11,30,,,4,5,
File,"AbstractDependencyMojo.java",6,111,60,37,0.62,11,,,4,8,
File,"AbstractDependencyMojo.java",5,301,193,58,0.30,39,,,4,10,
File,"AbstractEventSpy.java",1,32,6,22,3.67,3,,,0,1,
File,"AbstractExecutionListener.java",1,94,37,39,1.05,17,,,0,1,
File,"AbstractLifecycleMapping.java",2,64,31,22,0.71,5,,,1,2,
File,"AbstractLifecycleMappingProvider.java",2,88,42,24,0.57,4,,,1,3,
File,"AbstractLifecycleProvider.java",3,63,32,21,0.66,6,,,2,5,
File,"AbstractLoadMojo.java",18,172,95,59,0.62,18,,,5,18,
File,"AbstractLogMojo.java",3,126,58,59,1.02,9,,,3,4,
File,"AbstractMavenIntegrationTestCase.java",2,323,211,64,0.30,46,,,3,7,
File,"AbstractMavenLifecycleParticipant.java",1,78,10,63,6.30,3,,,0,1,
File,"AbstractMavenPluginDependenciesValidator.java",2,55,25,23,0.92,3,,,1,2,
File,"AbstractMavenPluginDescriptorSourcedParametersValidator.java",2,70,33,26,0.79,4,,,1,3,
File,"AbstractMavenPluginParametersValidator.java",2,115,66,28,0.42,11,,,1,6,
File,"AbstractMavenProjectTestCase.java",2,177,119,28,0.24,14,,,3,4,
File,"AbstractMavenProjectTestCase.java",1,180,121,27,0.22,17,,,3,4,
File,"AbstractMavenTransferListener.java",2,248,174,35,0.20,39,,,1,6,
File,"AbstractMavenTransferListener.java",2,98,62,23,0.37,9,,,1,4,
File,"AbstractMng2734Mojo.java",1,37,9,23,2.56,1,,,0,1,
File,"AbstractModelBuildingListener.java",1,33,7,24,3.43,1,,,0,1,
File,"AbstractModelInterpolatorTest.java",1,443,328,24,0.07,23,,,1,2,
File,"AbstractMojo.java",1,188,29,150,5.17,5,,,1,2,
File,"AbstractMojoExecutionException.java",1,56,20,29,1.45,5,,,0,1,
File,"AbstractNode.java",2,56,31,18,0.58,7,,,3,4,
File,"AbstractPomMojo.java",2,69,37,24,0.65,6,,,2,2,
File,"AbstractProfileActivatorTest.java",1,63,29,23,0.79,3,,,0,1,
File,"AbstractProfileActivatorTest.java",1,81,47,23,0.49,5,,,0,1,
File,"AbstractProjectInheritanceTestCase.java",1,61,28,23,0.82,5,,,0,1,
File,"AbstractRepoMojo.java",1,70,22,39,1.77,1,,,0,1,
File,"AbstractRepositoryMetadata.java",2,188,127,33,0.26,25,,,3,8,
File,"AbstractRepositoryTestCase.java",1,74,44,18,0.41,4,,,0,1,
File,"AbstractRepositoryTestCase.java",1,105,71,18,0.25,6,,,0,1,
File,"AbstractRequestCache.java",4,179,92,76,0.83,16,,,3,10,
File,"AbstractScopeArtifactFilter.java",6,80,49,22,0.45,12,,,1,6,
File,"AbstractSession.java",1,997,714,181,0.25,128,,,2,5,
File,"AbstractStringBasedModelInterpolator.java",2,332,224,55,0.25,34,,,6,14,
File,"AbstractStringBasedModelInterpolator.java",2,195,134,31,0.23,16,,,1,4,
File,"AbstractVersionTest.java",3,68,38,20,0.53,6,,,2,3,
File,"AbstractVersionTransformation.java",3,117,75,28,0.37,9,,,3,7,
File,"AccumulatingLogger.java",1,47,19,22,1.16,2,,,0,1,
File,"ActivationFileTest.java",1,55,25,22,0.88,4,,,0,1,
File,"ActivationOSTest.java",1,55,25,22,0.88,4,,,0,1,
File,"ActivationPropertyTest.java",1,55,25,22,0.88,4,,,0,1,
File,"ActivationSettings.java",1,53,21,25,1.19,7,,,0,1,
File,"ActivationTest.java",1,55,25,22,0.88,4,,,0,1,
File,"ActiveProjectArtifact.java",1,332,199,75,0.38,59,,,2,8,
File,"AddPluginArtifactMetadataMojo.java",4,84,35,38,1.09,4,,,1,4,
File,"AetherDependencyWrapper.java",1,127,47,68,1.45,10,,,2,3,
File,"After.java",0,66,23,36,1.57,0,,,0,0,
File,"AggregateTestMojo.java",3,83,32,41,1.28,5,,,2,3,
File,"AggregateTestMojo.java",3,97,37,49,1.32,5,,,2,3,
File,"AggregatorDependenciesMojo.java",3,60,30,23,0.77,3,,,2,3,
File,"AggregatorMojo.java",1,51,12,36,3.00,1,,,0,1,
