File,Number of Changes
Source/Components/ImageGlass.Views/ViewerCanvas.cs,19
Source/ImageGlass/FrmMain.cs,78
Source/ImageGlass/ImageGlass.csproj,212
Source/Components/ImageGlass.Base/Language/IgLang.cs,47
Source/ImageGlass/FrmMain.Designer.cs,12
Source/ImageGlass/FrmMain/FrmMain.Configs.cs,46
Source/Components/ImageGlass.Base/Photoing/Codecs/ImgTransform.cs,6
Source/Components/ImageGlass.Base/Photoing/Codecs/PhotoCodec.cs,32
Source/ImageGlass/FrmMain/FrmMain.IGMethods.cs,77
Source/ImageGlass/Properties/PublishProfiles/arm64.pubxml,1
Source/ImageGlass/Properties/PublishProfiles/x64.pubxml,1
Source/igcmd/Properties/PublishProfiles/arm64.pubxml,1
Source/igcmd/Properties/PublishProfiles/x64.pubxml,1
Tools/CodeSigning/sign_publish_files_arm64.bat,4
Tools/CodeSigning/sign_publish_files_x64.bat,4
Source/Components/ImageGlass.UI/Toolbar/ModernToolbar.cs,18
Source/Components/ImageGlass.Base/ImageGlass.Base.csproj,83
Source/Components/ImageGlass.Base/QueuedWorker/QueuedWorker.cs,8
Source/Components/ImageGlass.Base/Webview2/Web2.cs,10
Source/Components/ImageGlass.Gallery/ImageGallery.cs,7
Source/Components/ImageGlass.Gallery/ImageGlass.Gallery.csproj,10
Source/Components/ImageGlass.Settings/Forms/DialogForm.cs,6
Source/Components/ImageGlass.Settings/Forms/ModernColorDialog.cs,4
Source/Components/ImageGlass.Settings/Forms/Popup.cs,14
Source/Components/ImageGlass.Settings/Forms/ToolForm.cs,6
Source/Components/ImageGlass.Settings/ImageGlass.Settings.csproj,62
Source/Components/ImageGlass.UI/Buttons/ModernButton.cs,7
Source/Components/ImageGlass.UI/ColorPicker/Controls/AlphaColorSlider.cs,4
Source/Components/ImageGlass.UI/ColorPicker/Controls/ColorBox2D.cs,4
Source/Components/ImageGlass.UI/ColorPicker/Controls/ColorView.cs,4
Source/Components/ImageGlass.UI/ColorPicker/Controls/RgbColorSlider.cs,4
Source/Components/ImageGlass.UI/ColorPicker/Controls/VSlider.cs,4
Source/Components/ImageGlass.UI/ColorPicker/ModernColorPicker.cs,4
Source/Components/ImageGlass.UI/Forms/ModernForm.cs,6
Source/Components/ImageGlass.UI/ImageGlass.UI.csproj,75
Source/Components/ImageGlass.UI/Labels/ModernLabel.cs,6
Source/Components/ImageGlass.UI/Labels/ModernLinkLabel.cs,6
Source/Components/ImageGlass.UI/Menu/ModernMenu.cs,7
Source/Components/ImageGlass.UI/Menu/ToolStripRadioButtonMenuItem.cs,4
Source/Components/ImageGlass.UI/ModernCheckBox.cs,5
Source/Components/ImageGlass.UI/ModernProgressBar.cs,4
Source/Components/ImageGlass.UI/ModernRadioButton.cs,3
Source/Components/ImageGlass.UI/ModernTooltip.cs,4
Source/Components/ImageGlass.UI/SplitContainer/ModernSplitContainer.cs,4
Source/Components/ImageGlass.UI/TextBox/ModernComboBox.cs,6
Source/Components/ImageGlass.UI/TextBox/ModernNumericUpDown.cs,6
Source/Components/ImageGlass.UI/TextBox/ModernTextBox.cs,4
Source/Components/ImageGlass.Views/ImageGlass.Viewer.csproj,23
Source/Components/ImageGlass.WebP/ImageGlass.WebP.csproj,14
Source/Components/ImageGlass.WinTouch/ImageGlass.WinTouch.csproj,10
Source/ImageGlass.sln,55
Source/ImageGlass/Tools/FrmColorPicker.cs,8
Source/ImageGlass/Tools/FrmColorPickerSettings.cs,4
Source/ImageGlass/Tools/FrmCrop.cs,17
Source/ImageGlass/Tools/FrmCropSettings.cs,7
Source/ImageGlass/Tools/FrmResize.cs,7
Source/ImageGlass/Tools/FrmToolNotFound.cs,9
Source/igcmd/Tools/FrmSlideshow.cs,39
Source/igcmd/igcmd.csproj,23
README.md,106
Source/Components/ImageGlass.Settings/WebUI/FrmQuickSetup.html,3
Source/Components/ImageGlass.Settings/WebUI/FrmSettings.html,20
Source/Components/ImageGlass.Settings/WebUI/src/FrmQuickSetup.ts,2
Source/Components/ImageGlass.Settings/WebUI/src/FrmSettings/TabAppearance.ts,7
Source/igcmd/Tools/FrmQuickSetup.cs,15
Source/Components/ImageGlass.Views/Enums.cs,8
Source/Components/ImageGlass.Settings/Config.cs,64
Source/ImageGlass/Local.cs,46
Source/Components/ImageGlass.Base/BHelper/Path.cs,9
Source/Components/ImageGlass.Base/DirectoryComparer/ImageOrderEnums.cs,8
Source/Components/ImageGlass.Base/FileSystem/FileFinder.cs,1
Source/Components/ImageGlass.Base/FileSystem/FilesEnumeratedEventArgs.cs,1
Source/Components/ImageGlass.Base/FileSystem/StringNaturalComparer.cs,1
Source/Components/ImageGlass.Base/Types/Enums.cs,23
Source/ImageGlass/FrmMain/FrmMain.PicMainEvents.cs,16
Source/ImageGlass/Program.cs,100
