File,Number of Changes
lucene/CHANGES.txt,4618
lucene/core/src/java/org/apache/lucene/search/HnswQueueSaturationCollector.java,1
lucene/core/src/java/org/apache/lucene/search/PatienceKnnVectorQuery.java,1
lucene/core/src/java/org/apache/lucene/search/knn/KnnSearchStrategy.java,3
lucene/core/src/java/org/apache/lucene/util/hnsw/FilteredHnswGraphSearcher.java,2
lucene/core/src/java/org/apache/lucene/util/hnsw/HnswGraphBuilder.java,65
lucene/core/src/java/org/apache/lucene/util/hnsw/HnswGraphSearcher.java,33
lucene/core/src/test/org/apache/lucene/search/TestHnswQueueSaturationCollector.java,1
lucene/core/src/test/org/apache/lucene/search/TestPatienceByteVectorQuery.java,1
lucene/core/src/test/org/apache/lucene/search/TestPatienceFloatVectorQuery.java,1
lucene/MIGRATE.md,87
lucene/core/src/java/org/apache/lucene/search/IndexSearcher.java,163
lucene/core/src/java/org/apache/lucene/search/PointInSetQuery.java,53
lucene/core/src/test/org/apache/lucene/search/TestPointQueries.java,70
lucene/core/src/java/org/apache/lucene/search/DenseConjunctionBulkScorer.java,11
lucene/core/src/java/org/apache/lucene/search/LeafCollector.java,14
lucene/core/src/java/org/apache/lucene/search/RangeDocIdStream.java,2
lucene/test-framework/src/java/org/apache/lucene/tests/search/AssertingLeafCollector.java,9
lucene/core/src/test/org/apache/lucene/index/TestDirectoryReaderReopen.java,56
lucene/core/src/java/org/apache/lucene/search/AbstractKnnVectorQuery.java,31
lucene/sandbox/src/java/org/apache/lucene/sandbox/facet/plain/histograms/HistogramCollector.java,4
lucene/sandbox/src/test/org/apache/lucene/sandbox/facet/plain/histograms/TestHistogramCollectorManager.java,2
lucene/core/src/java/org/apache/lucene/util/Version.java,140
lucene/core/src/java/org/apache/lucene/search/LRUQueryCache.java,63
lucene/core/src/test/org/apache/lucene/search/TestLRUQueryCache.java,98
lucene/core/src/java/org/apache/lucene/index/ConcurrentMergeScheduler.java,55
lucene/core/src/test/org/apache/lucene/search/TestDenseConjunctionBulkScorer.java,5
lucene/core/src/java/org/apache/lucene/util/hnsw/UpdateGraphsUtils.java,2
lucene/core/src/java/org/apache/lucene/search/BitSetDocIdStream.java,1
lucene/core/src/java/org/apache/lucene/search/BooleanScorer.java,55
lucene/core/src/java/org/apache/lucene/search/DISIDocIdStream.java,1
lucene/core/src/java/org/apache/lucene/search/DocIdStream.java,3
lucene/core/src/java/org/apache/lucene/util/FixedBitSet.java,58
lucene/core/src/test/org/apache/lucene/search/TestBitSetDocIdStream.java,1
lucene/core/src/test/org/apache/lucene/search/TestDISIDocIdStream.java,1
lucene/core/src/test/org/apache/lucene/search/TestRangeDocIdStream.java,1
lucene/core/src/test/org/apache/lucene/util/TestFixedBitSet.java,31
lucene/core/src/test/org/apache/lucene/internal/vectorization/TestVectorUtilSupport.java,7
lucene/core/src/test/org/apache/lucene/search/BaseKnnVectorQueryTestCase.java,37
lucene/core/src/test/org/apache/lucene/search/TestKnnByteVectorQuery.java,12
lucene/core/src/test/org/apache/lucene/search/TestKnnFloatVectorQuery.java,16
lucene/core/src/test/org/apache/lucene/search/TestSeededKnnByteVectorQuery.java,4
lucene/core/src/test/org/apache/lucene/search/TestSeededKnnFloatVectorQuery.java,4
lucene/core/src/java/org/apache/lucene/internal/vectorization/DefaultVectorUtilSupport.java,9
lucene/core/src/java/org/apache/lucene/internal/vectorization/VectorUtilSupport.java,8
lucene/core/src/java/org/apache/lucene/util/VectorUtil.java,37
