File,Number of Changes
its/core-it-suite/src/test/java/org/apache/maven/it/MavenITmng3558PropertyEscapingTest.java,1
its/core-it-suite/src/test/java/org/apache/maven/it/TestSuiteOrdering.java,72
its/core-it-suite/src/test/resources/mng-3558-property-escaping/pom.xml,1
impl/maven-impl/src/main/java/org/apache/maven/impl/DefaultArtifactResolver.java,6
impl/maven-core/src/main/java/org/apache/maven/project/MavenProject.java,9
apache-maven/src/assembly/maven/bin/mvn,8
apache-maven/src/assembly/maven/bin/mvn.cmd,9
its/core-it-suite/src/test/java/org/apache/maven/it/MavenITmng4559MultipleJvmArgsTest.java,1
its/core-it-suite/src/test/java/org/apache/maven/it/MavenITmng4559SpacesInJvmOptsTest.java,1
its/core-it-suite/src/test/java/org/apache/maven/it/MavenITmng6255FixConcatLines.java,13
its/core-it-suite/src/test/resources/mng-4559-multiple-jvm-args/pom.xml,1
its/core-it-suite/src/test/resources/mng-4559-spaces-jvm-opts/.mvn/jvm.config,1
its/core-it-suite/src/test/resources/mng-4559-spaces-jvm-opts/pom.xml,1
compat/maven-artifact/src/main/java/org/apache/maven/artifact/resolver/AbstractArtifactResolutionException.java,2
pom.xml,1337
.github/ci-mimir-daemon.properties,1
.github/workflows/maven.yml,33
impl/maven-core/src/test/java/org/apache/maven/AbstractCoreMavenComponentTestCase.java,3
impl/maven-impl/src/test/java/org/apache/maven/impl/model/DefaultInterpolatorTest.java,3
impl/maven-testing/src/main/java/org/apache/maven/api/di/testing/MavenDIExtension.java,4
impl/maven-cli/src/test/java/org/apache/maven/cling/invoker/mvn/MavenInvokerTestSupport.java,11
impl/maven-cli/src/test/java/org/apache/maven/cling/invoker/mvn/MimirInfuser.java,1
impl/maven-executor/src/test/java/org/apache/maven/cling/executor/MavenExecutorTestSupport.java,6
impl/maven-executor/src/test/java/org/apache/maven/cling/executor/MimirInfuser.java,1
impl/maven-executor/src/test/java/org/apache/maven/cling/executor/impl/ToolboxToolTest.java,2
impl/maven-executor/src/test/resources-filtered/ut-mimir.properties,1
compat/maven-artifact/src/test/java/org/apache/maven/artifact/versioning/VersionRangeTest.java,4
compat/maven-compat/src/main/java/org/apache/maven/artifact/resolver/ResolutionListener.java,2
compat/maven-compat/src/main/java/org/apache/maven/project/interpolation/StringSearchModelInterpolator.java,4
compat/maven-compat/src/main/java/org/apache/maven/project/validation/ModelValidationResult.java,2
compat/maven-compat/src/main/java/org/apache/maven/repository/legacy/LegacyRepositorySystem.java,3
compat/maven-compat/src/main/java/org/apache/maven/repository/metadata/ArtifactMetadata.java,2
compat/maven-compat/src/main/java/org/apache/maven/repository/metadata/DefaultClasspathTransformation.java,2
compat/maven-compat/src/main/java/org/apache/maven/repository/metadata/DefaultGraphConflictResolver.java,2
compat/maven-compat/src/main/java/org/apache/maven/repository/metadata/MetadataGraphVertex.java,3
compat/maven-compat/src/main/java/org/apache/maven/settings/DefaultMavenSettingsBuilder.java,2
compat/maven-compat/src/main/java/org/apache/maven/toolchain/java/JavaToolchain.java,3
compat/maven-compat/src/test/java/org/apache/maven/ProjectDependenciesResolverTest.java,2
compat/maven-compat/src/test/java/org/apache/maven/profiles/manager/DefaultProfileManagerTest.java,2
compat/maven-compat/src/test/java/org/apache/maven/project/artifact/MavenMetadataSourceTest.java,2
compat/maven-compat/src/test/java/org/apache/maven/project/inheritance/t12scm/ProjectInheritanceTest.java,2
compat/maven-model-builder/src/test/java/org/apache/maven/model/interpolation/AbstractModelInterpolatorTest.java,3
compat/maven-model/src/test/java/org/apache/maven/model/merge/MavenMergerTest.java,2
impl/maven-core/src/main/java/org/apache/maven/lifecycle/internal/concurrent/BuildPlanLogger.java,2
impl/maven-core/src/test/java/org/apache/maven/lifecycle/internal/stub/ProjectDependencyGraphStub.java,2
impl/maven-core/src/test/java/org/apache/maven/plugin/PluginManagerTest.java,2
impl/maven-core/src/test/java/org/apache/maven/project/PomConstructionTest.java,7
impl/maven-core/src/test/java/org/apache/maven/project/harness/PomTestWrapper.java,2
impl/maven-impl/src/test/java/org/apache/maven/impl/DefaultSettingsBuilderFactoryTest.java,5
impl/maven-impl/src/test/java/org/apache/maven/impl/DefaultSettingsValidatorTest.java,3
impl/maven-impl/src/test/java/org/apache/maven/impl/model/DefaultModelInterpolatorTest.java,4
impl/maven-impl/src/test/java/org/apache/maven/impl/model/profile/ConditionProfileActivatorTest.java,4
impl/maven-impl/src/test/java/org/apache/maven/impl/standalone/ApiRunner.java,5
impl/maven-logging/src/main/java/org/apache/maven/slf4j/MavenBaseLogger.java,7
compat/maven-compat/src/main/java/org/apache/maven/repository/MetadataResolutionResult.java,2
compat/maven-model-builder/src/main/java/org/apache/maven/model/building/DefaultModelBuilder.java,6
impl/maven-core/src/main/java/org/apache/maven/plugin/internal/DefaultMavenPluginManager.java,4
impl/maven-impl/src/test/java/org/apache/maven/impl/VersionTest.java,3
src/site/xdoc/index.xml,31
.github/ci-extensions.xml,2
compat/maven-embedder/src/examples/simple-project/src/main/java/org/apache/maven/embedder/App.java,2
compat/maven-embedder/src/examples/simple-project/src/test/java/org/apache/maven/embedder/AppTest.java,2
compat/maven-model/src/main/java/org/apache/maven/model/io/xpp3/package-info.java,2
compat/maven-model/src/main/java/org/apache/maven/model/merge/package-info.java,2
