File,Number of Changes
docs/contributing.rst,15
toqito/channel_ops/choi_to_kraus.py,15
toqito/channel_ops/kraus_to_choi.py,17
toqito/channels/choi.py,12
toqito/matrix_ops/unvec.py,17
toqito/matrix_ops/vec.py,12
toqito/matrix_props/is_positive_definite.py,15
toqito/matrix_props/is_stochastic.py,3
toqito/measurements/pretty_bad_measurement.py,3
toqito/measurements/pretty_good_measurement.py,4
toqito/state_props/log_negativity.py,21
toqito/state_props/negativity.py,21
.coveragerc,9
toqito/channels/__init__.py,9
toqito/channels/pauli_channel.py,1
toqito/channels/tests/test_pauli_channel.py,1
toqito/matrices/pauli.py,17
toqito/matrix_props/is_block_positive.py,13
toqito/matrix_props/sk_norm.py,23
toqito/state_props/is_separable.py,26
toqito/channel_metrics/diamond_distance.py,2
toqito/channel_ops/dual_channel.py,22
toqito/state_props/is_unextendible_product_basis.py,12
.github/dependabot.yml,4
.github/workflows/dependabot-automerge.yml,1
toqito/channel_metrics/__init__.py,13
toqito/channel_metrics/completely_bounded_trace_norm.py,28
toqito/channel_metrics/diamond_norm.py,20
toqito/channel_metrics/tests/test_completely_bounded_trace_norm.py,6
toqito/channel_metrics/tests/test_diamond_distance.py,1
toqito/channel_props/__init__.py,9
toqito/channel_props/is_extremal.py,1
toqito/channel_props/tests/test_is_extremal.py,1
docs/refs.bib,27
toqito/channels/phase_damping.py,1
toqito/channels/tests/test_phase_damping.py,1
poetry.lock,233
pyproject.toml,330
setup.py,31
toqito/state_opt/__init__.py,7
toqito/state_opt/bell_inequality_max.py,1
toqito/state_opt/optimal_clone.py,26
toqito/state_opt/state_distinguishability.py,45
toqito/state_opt/state_exclusion.py,36
toqito/state_opt/tests/test_bell_inequality_max.py,1
toqito/state_opt/tests/test_state_distinguishability.py,10
toqito/state_opt/tests/test_state_exclusion.py,17
toqito/channels/amplitude_damping.py,1
toqito/channels/tests/test_amplitude_damping.py,1
toqito/rand/__init__.py,11
toqito/rand/random_psd_operator.py,1
toqito/rand/tests/test_random_psd_operator.py,1
toqito/rand/random_density_matrix.py,12
toqito/rand/random_orthonormal_basis.py,5
toqito/rand/random_unitary.py,12
toqito/rand/tests/test_random_density_matrix.py,11
toqito/rand/tests/test_random_orthonormal_basis.py,3
toqito/rand/tests/test_random_unitary.py,10
toqito/matrix_props/tests/test_is_block_positive.py,8
toqito/matrix_props/tests/test_is_positive.py,2
toqito/matrix_props/tests/test_is_stochastic.py,2
.pre-commit-config.yaml,3
docs/conf.py,54
toqito/channels/bitflip.py,1
toqito/channels/tests/test_bitflip.py,1
toqito/channel_metrics/channel_fidelity.py,17
README.md,80
toqito/state_props/__init__.py,22
toqito/state_props/common_quantum_overlap.py,1
toqito/state_props/tests/test_common_quantum_overlap.py,1
docs/Makefile,3
toqito/channel_ops/complementary_channel.py,12
toqito/matrix_ops/tensor_comb.py,7
toqito/states/domino.py,12
toqito/matrix_props/__init__.py,30
toqito/matrix_props/is_pseudo_hermitian.py,1
toqito/matrix_props/tests/test_is_pseudo_hermitian.py,1
toqito/matrix_props/is_pseudo_unitary.py,1
toqito/matrix_props/tests/test_is_pseudo_unitary.py,1
docs/index.rst,33
toqito/channel_ops/__init__.py,8
toqito/channel_ops/natural_representation.py,1
toqito/channel_ops/tests/test_natural_representataion.py,1
docs/getting_started.rst,18
docs/requirements.txt,28
toqito/state_metrics/matsumoto_fidelity.py,26
CHANGELOG.md,71
docs/intro_tutorial.rst,20
toqito/states/ghz.py,29
toqito/states/chessboard.py,15
toqito/channel_ops/tests/test_complementary_channel.py,10
.github/workflows/build-test-actions.yml,23
toqito/matrix_ops/__init__.py,15
toqito/matrix_ops/perturb_vectors.py,1
toqito/matrix_ops/tests/test_perturb_vector.py,1
toqito/nonlocal_games/nonlocal_game.py,66
toqito/states/dicke.py,6
toqito/states/tests/test_dicke.py,3
docs/tutorials.nonlocal_games.rst,20
.github/PULL_REQUEST_TEMPLATE.md,7
toqito/channel_ops/tests/test_complmentary_channel.py,4
toqito/rand/random_circulant_gram_matrix.py,4
toqito/rand/random_ginibre.py,10
toqito/rand/random_povm.py,10
toqito/rand/random_state_vector.py,10
toqito/rand/random_states.py,10
toqito/rand/tests/test_random_circulant_gram_matrix.py,2
toqito/rand/tests/test_random_ginibre.py,5
toqito/rand/tests/test_random_povm.py,6
toqito/rand/tests/test_random_state_vector.py,9
toqito/rand/tests/test_random_states.py,5
toqito/matrix_ops/tensor.py,16
toqito/matrix_ops/tests/test_tensor.py,12
toqito/matrix_ops/tests/test_to_density_matrix.py,1
toqito/matrix_ops/to_density_matrix.py,1
toqito/state_opt/ppt_distinguishability.py,35
toqito/state_props/l1_norm_coherence.py,16
toqito/state_ops/__init__.py,6
toqito/state_ops/pure_to_mixed.py,13
toqito/state_ops/tests/test_pure_to_mixed.py,5
toqito/channel_metrics/completely_bounded_spectral_norm.py,17
toqito/channel_ops/apply_channel.py,15
toqito/channel_ops/partial_channel.py,18
toqito/channel_props/choi_rank.py,15
toqito/channel_props/is_completely_positive.py,13
toqito/channel_props/is_herm_preserving.py,12
toqito/channel_props/is_positive.py,13
toqito/channel_props/is_quantum_channel.py,15
toqito/channel_props/is_trace_preserving.py,18
toqito/channel_props/is_unital.py,13
toqito/channel_props/is_unitary.py,14
toqito/channels/dephasing.py,14
toqito/channels/depolarizing.py,22
toqito/channels/partial_trace.py,26
toqito/channels/partial_transpose.py,22
toqito/channels/realignment.py,17
toqito/channels/reduction.py,14
toqito/helper/__init__.py,12
toqito/helper/channel_dim.py,9
toqito/helper/expr_as_np_array.py,6
toqito/helper/np_array_as_expr.py,6
toqito/helper/npa_hierarchy.py,18
toqito/helper/update_odometer.py,16
toqito/matrices/__init__.py,8
toqito/matrices/cnot.py,8
toqito/matrices/cyclic_permutation_matrix.py,2
toqito/matrices/fourier.py,9
toqito/matrices/gell_mann.py,15
toqito/matrices/gen_gell_mann.py,14
toqito/matrices/gen_pauli.py,14
toqito/matrices/gen_pauli_x.py,4
toqito/matrices/gen_pauli_z.py,3
toqito/matrices/hadamard.py,15
toqito/matrices/standard_basis.py,9
