Kind,Name,AvgCyclomatic,CountLine,CountLineCode,CountLineComment,RatioCommentToCode,SumCyclomatic,PercentLackOfCohesion,MaxNesting,MaxInheritanceTree,MaxCyclomatic,Cyclomatic
Unnamed Function,"(unnamed_function_1)",,3,3,0,,2,,0,,,1
Unnamed Function,"(unnamed_function_1)",,10,9,0,,1,,0,,,1
Unnamed Function,"(unnamed_function_1)",,3,3,0,,1,,0,,,1
Unnamed Function,"(unnamed_function_1)",,19,18,0,,1,,0,,,1
Unnamed Function,"(unnamed_function_1).(unnamed_function_2)",,1,1,0,,1,,0,,,1
Unnamed Function,"(unnamed_function_10)",,1,1,0,,1,,0,,,1
Unnamed Function,"(unnamed_function_11)",,4,4,0,,1,,0,,,1
Unnamed Function,"(unnamed_function_12)",,18,17,0,,2,,1,,,2
Unnamed Function,"(unnamed_function_16)",,7,6,0,,2,,1,,,2
Unnamed Function,"(unnamed_function_2)",,11,8,1,,3,,1,,,3
Unnamed Function,"(unnamed_function_3)",,19,16,0,,3,,0,,,1
Unnamed Function,"(unnamed_function_3)",,6,5,0,,2,,1,,,2
Unnamed Function,"(unnamed_function_3).(unnamed_function_4)",,4,4,0,,2,,0,,,2
Unnamed Function,"(unnamed_function_5)",,10,8,0,,1,,0,,,1
Unnamed Function,"(unnamed_function_6)",,10,9,0,,2,,0,,,1
Unnamed Function,"(unnamed_function_6).(unnamed_function_7)",,8,7,0,,1,,0,,,1
Unnamed Function,"(unnamed_function_8)",,3,3,0,,1,,0,,,1
Unnamed Function,"(unnamed_function_9)",,1,1,0,,1,,0,,,1
Unknown Method,"Abs",,,,,0.00,,,,,,
Unknown Class,"Action",,,,,0.00,,,,,,
Unknown Method,"Activate",,,,,0.00,,,,,,
Unknown Method,"Add",,,,,0.00,,,,,,
Unknown Method,"AddArc",,,,,0.00,,,,,,
Unknown Method,"AddCommandLine",,,,,0.00,,,,,,
Unknown Method,"AddConfiguration",,,,,0.00,,,,,,
Unknown Method,"AddFirst",,,,,0.00,,,,,,
Unknown Method,"AddJsonFile",,,,,0.00,,,,,,
Unknown Method,"AddLast",,,,,0.00,,,,,,
Unknown Method,"AddLine",,,,,0.00,,,,,,
Unknown Method,"AddPolygon",,,,,0.00,,,,,,
Unknown Method,"AddRange",,,,,0.00,,,,,,
Unknown Method,"AddRectangle",,,,,0.00,,,,,,
Unknown Method,"AddString",,,,,0.00,,,,,,
Unknown Method,"AddYears",,,,,0.00,,,,,,
Unknown Method,"AddrOfPinnedObject",,,,,0.00,,,,,,
File,"AfterEditAppAction.cs",0,32,7,18,2.57,0,,0,,0,
Unknown Method,"Aggregate",,,,,0.00,,,,,,
Unknown Method,"All",,,,,0.00,,,,,,
