Kind,Name,AvgCyclomatic,CountLine,CountLineCode,CountLineComment,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic
Unknown Class,"TestCase",,,,,,,,,0.00,
Unknown Class,"TestCase",,,,,,,,,0.00,
Unknown Class,"TestCase",,,,,,,,,0.00,
Unknown Class,"TestCase",,,,,,,,,0.00,
File,"__init__.py",0,7,5,1,0,0,,0,0.20,0
File,"__init__.py",0,13,11,1,0,0,,0,0.09,0
File,"__init__.py",0,9,7,1,0,0,,0,0.14,0
File,"__init__.py",0,11,9,1,0,0,,0,0.11,0
File,"__init__.py",0,35,33,1,0,0,,0,0.03,0
File,"__init__.py",0,11,9,1,0,0,,0,0.11,0
File,"__init__.py",0,26,24,1,0,0,,0,0.04,0
File,"__init__.py",0,1,0,1,0,0,,0,0.00,0
File,"__init__.py",0,12,10,1,0,0,,0,0.10,0
File,"__init__.py",0,27,22,3,0,0,,0,0.14,0
File,"__init__.py",0,7,5,1,0,0,,0,0.20,0
File,"__init__.py",0,1,0,1,0,0,,0,0.00,0
File,"__init__.py",0,13,11,1,0,0,,0,0.09,0
File,"__init__.py",0,1,0,1,0,0,,0,0.00,0
File,"__init__.py",0,1,0,1,0,0,,0,0.00,0
File,"__init__.py",0,1,0,1,0,0,,0,0.00,0
File,"__init__.py",0,1,0,1,0,0,,0,0.00,0
File,"__init__.py",0,1,0,1,0,0,,0,0.00,0
File,"__init__.py",0,3,1,1,0,0,,0,1.00,0
File,"__init__.py",0,1,0,1,0,0,,0,0.00,0
File,"__init__.py",0,11,9,1,0,0,,0,0.11,0
File,"__init__.py",0,3,1,1,0,0,,0,1.00,0
File,"__init__.py",0,1,0,1,0,0,,0,0.00,0
File,"__init__.py",0,3,1,1,0,0,,0,1.00,0
File,"__init__.py",0,1,0,1,0,0,,0,0.00,0
File,"__init__.py",0,4,2,1,0,0,,0,0.50,0
File,"__init__.py",0,1,0,1,0,0,,0,0.00,0
File,"__init__.py",0,6,4,1,0,0,,0,0.25,0
File,"__init__.py",0,1,0,1,0,0,,0,0.00,0
File,"__init__.py",0,1,0,1,0,0,,0,0.00,0
File,"__init__.py",0,1,0,1,0,0,,0,0.00,0
File,"__init__.py",0,12,10,1,0,0,,0,0.10,0
File,"__init__.py",0,1,0,1,0,0,,0,0.00,0
File,"__init__.py",0,1,0,1,0,0,,0,0.00,0
File,"__init__.py",0,11,6,3,0,0,,0,0.50,0
File,"__init__.py",0,1,0,1,0,0,,0,0.00,0
File,"__init__.py",0,1,0,1,0,0,,0,0.00,0
File,"__init__.py",0,1,0,1,0,0,,0,0.00,0
Module File,"amplitude_damping.py",5,85,25,39,0,5,,1,1.56,5
Module File,"antisymmetric_projection.py",5,97,18,56,0,5,,1,3.11,5
